sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","G3","CalB_20","Sample","KIF13A","Excl","-","WT","1559.8","-","3.6%","15598.5","-","-","-","1","1","10","-","-"
"","","","G4","CalB_30","Sample","KIF13A","Incl","-","ET","569.5","-","5.5%","5695.2","-","30.2185%","5%","1","1","10","-","-"
"","","","G4","CalB_30","Sample","KIF13A","Excl","-","WT","1315.1","-","3.9%","13151.5","-","-","-","1","1","10","-","-"
"","","","G5","CalB_40","Sample","KIF13A","Incl","-","ET","788.1","-","4.8%","7881.3","-","41.2205%","4%","1","1","10","-","-"
"","","","G5","CalB_40","Sample","KIF13A","Excl","-","WT","1123.9","-","4.1%","11238.5","-","-","-","1","1","10","-","-"
"","","","G6","CalB_50","Sample","KIF13A","Incl","-","ET","972.5","-","4.4%","9725.1","-","51.0063%","3%","1","1","10","-","-"
"","","","G6","CalB_50","Sample","KIF13A","Excl","-","WT","934.1","-","4.5%","9341.3","-","-","-","1","1","10","-","-"
"","","","G7","CalB_60","Sample","KIF13A","Incl","-","ET","1181.9","-","4.0%","11819.1","-","61.1427%","2%","1","1","10","-","-"
"","","","G7","CalB_60","Sample","KIF13A","Excl","-","WT","751.1","-","4.9%","7511.2","-","-","-","1","1","10","-","-"
"","","","G8","CalB_70","Sample","KIF13A","Incl","-","ET","1346.4","-","3.8%","13464.2","-","69.9654%","2%","1","1","10","-","-"
"","","","G8","CalB_70","Sample","KIF13A","Excl","-","WT","578.0","-","5.5%","5779.9","-","-","-","1","1","10","-","-"
"","","","G9","CalB_80","Sample","KIF13A","Incl","-","ET","1352.4","-","3.8%","13524.3","-","78.2844%","2%","1","1","10","-","-"
"","","","G9","CalB_80","Sample","KIF13A","Excl","-","WT","375.2","-","6.7%","3751.6","-","-","-","1","1","10","-","-"
"","","","G10","CalB_90","Sample","KIF13A","Incl","-","ET","1839.0","-","3.4%","18389.9","-","89.5170%","1%","1","1","10","-","-"
"","","","G10","CalB_90","Sample","KIF13A","Excl","-","WT","215.4","-","8.6%","2153.6","-","-","-","1","1","10","-","-"
"","","","G11","CalB_100","Sample","KIF13A","Incl","-","ET","1920.4","-","3.3%","19204.1","-","99.8743%","0%","1","1","10","-","-"
"","","","G11","CalB_100","Sample","KIF13A","Excl","-","WT","2.416","-","80.0%","24.16","-","-","-","1","1","10","-","-"
"","","","G12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","G12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","H1","CalB_0","Sample","KIF13A","Incl","-","ET","0.389","-","147.5%","3.886","-","0.0201%","148%","1","1","10","-","-"
"","","","H1","CalB_0","Sample","KIF13A","Excl","-","WT","1929.4","-","3.3%","19293.6","-","-","-","1","1","10","-","-"
"","","","H2","CalB_10","Sample","KIF13A","Incl","-","ET","223.7","-","8.6%","2237.0","-","10.8736%","8%","1","1","10","-","-"
"","","","H2","CalB_10","Sample","KIF13A","Excl","-","WT","1833.6","-","3.4%","18336.1","-","-","-","1","1","10","-","-"
"","","","H3","CalB_20","Sample","KIF13A","Incl","-","ET","399.6","-","6.7%","3995.9","-","20.5900%","6%","1","1","10","-","-"
"","","","H3","CalB_20","Sample","KIF13A","Excl","-","WT","1541.1","-","3.7%","15411.2","-","-","-","1","1","10","-","-"
"","","","H4","CalB_30","Sample","KIF13A","Incl","-","ET","561.1","-","5.4%","5610.9","-","30.8646%","5%","1","1","10","-","-"
"","","","H4","CalB_30","Sample","KIF13A","Excl","-","WT","1256.8","-","3.9%","12568.1","-","-","-","1","1","10","-","-"
"","","","H5","CalB_40","Sample","KIF13A","Incl","-","ET","809.7","-","4.7%","8097.1","-","41.6831%","4%","1","1","10","-","-"
"","","","H5","CalB_40","Sample","KIF13A","Excl","-","WT","1132.8","-","4.1%","11328.2","-","-","-","1","1","10","-","-"
"","","","H6","CalB_50","Sample","KIF13A","Incl","-","ET","988.0","-","4.3%","9879.5","-","50.4330%","3%","1","1","10","-","-"
"","","","H6","CalB_50","Sample","KIF13A","Excl","-","WT","971.0","-","4.3%","9709.9","-","-","-","1","1","10","-","-"
"","","","H7","CalB_60","Sample","KIF13A","Incl","-","ET","1109.1","-","4.1%","11091.1","-","60.2542%","3%","1","1","10","-","-"
"","","","H7","CalB_60","Sample","KIF13A","Excl","-","WT","731.6","-","4.9%","7316.1","-","-","-","1","1","10","-","-"
"","","","H8","CalB_70","Sample","KIF13A","Incl","-","ET","1307.4","-","3.8%","13074.0","-","68.4899%","2%","1","1","10","-","-"
"","","","H8","CalB_70","Sample","KIF13A","Excl","-","WT","601.5","-","5.3%","6015.0","-","-","-","1","1","10","-","-"
"","","","H9","CalB_80","Sample","KIF13A","Incl","-","ET","1323.5","-","3.8%","13235.1","-","77.8607%","2%","1","1","10","-","-"
"","","","H9","CalB_80","Sample","KIF13A","Excl","-","WT","376.3","-","6.6%","3763.3","-","-","-","1","1","10","-","-"
"","","","H10","CalB_90","Sample","KIF13A","Incl","-","ET","1789.9","-","3.4%","17898.6","-","89.5317%","1%","1","1","10","-","-"
"","","","H10","CalB_90","Sample","KIF13A","Excl","-","WT","209.3","-","8.6%","2092.7","-","-","-","1","1","10","-","-"
"","","","H11","CalB_100","Sample","KIF13A","Incl","-","ET","1827.4","-","3.3%","18274.1","-","99.6828%","0%","1","1","10","-","-"
"","","","H11","CalB_100","Sample","KIF13A","Excl","-","WT","5.815","-","50.6%","58.15","-","-","-","1","1","10","-","-"
"","","","H12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","H12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
